file,participant_id,read_encoding,total_rows,practice_trials,main_trials,completed_main_valid_rt,missing_blank_rt_count,timeout_missed_response_count,overall_main_accuracy,real_word_accuracy,pseudoword_accuracy,practice_accuracy,median_rt,mean_rt,min_rt,max_rt,very_fast_rt_below_250ms_pct,very_slow_rt_above_2500ms_pct,f_response_count,j_response_count,word_response_proportion,nonword_response_proportion,flags,usable_by_rules
11_session-001_ldt_20260523_090000.csv,11,cp1258,124,4,120,119,1,1,0.841667,0.819444,0.875,0.75,0.712039,0.755807,0.28,1.679438,0.0,0.0,64,55,0.537815,0.462185,,yes
12_session-001_ldt_20260523_090217.csv,12,cp1258,124,4,120,118,2,2,0.916667,0.958333,0.854167,1,0.662207,0.717903,0.28,1.402519,0.0,0.0,76,42,0.644068,0.355932,,yes
13_session-001_ldt_20260523_090434.csv,13,cp1258,124,4,120,120,0,0,0.966667,1,0.916667,1,0.67717,0.732386,0.28,1.373666,0.0,0.0,76,44,0.633333,0.366667,,yes
14_session-001_ldt_20260523_090600.csv,14,cp1258,124,4,120,120,0,0,0.916667,1,0.791667,0.75,0.639005,0.665229,0.28,1.427829,0.0,0.0,82,38,0.683333,0.316667,,yes
15_session-001_ldt_20260523_090817.csv,15,cp1258,124,4,120,119,1,1,0.85,0.944444,0.708333,1,0.645986,0.670762,0.28,1.663114,0.0,0.0,81,38,0.680672,0.319328,,yes
16_session-001_ldt_20260523_091034.csv,16,cp1258,124,4,120,119,1,1,0.883333,0.958333,0.770833,1,0.802687,0.808725,0.304044,1.677834,0.0,0.0,79,40,0.663866,0.336134,,yes
17_session-001_ldt_20260523_091200.csv,17,cp1258,124,4,120,120,0,0,0.975,1,0.9375,1,0.636281,0.652808,0.28,1.281002,0.0,0.0,75,45,0.625,0.375,,yes
18_session-001_ldt_20260523_091417.csv,18,cp1258,124,4,120,118,2,2,0.833333,0.930556,0.6875,1,0.701055,0.723045,0.28,1.264261,0.0,0.0,81,37,0.686441,0.313559,,yes
19_session-001_ldt_20260523_091634.csv,19,cp1258,124,4,120,117,3,3,0.9,0.930556,0.854167,1,0.548188,0.560669,0.28,1.285768,0.0,0.0,72,45,0.615385,0.384615,,yes
20_session-001_ldt_20260523_091800.csv,20,cp1258,124,4,120,118,2,2,0.883333,0.930556,0.8125,1,0.799637,0.836018,0.2834,1.865942,0.0,0.0,74,44,0.627119,0.372881,,yes
21_session-001_ldt_20260523_092017.csv,21,cp1258,124,4,120,120,0,0,0.966667,1,0.916667,1,0.747669,0.786435,0.306889,1.987423,0.0,0.0,76,44,0.633333,0.366667,,yes
22_session-001_ldt_20260523_092234.csv,22,cp1258,124,4,120,116,4,4,0.916667,0.972222,0.833333,1,0.623676,0.662632,0.28,1.188714,0.0,0.0,75,41,0.646552,0.353448,,yes
23_session-001_ldt_20260523_092400.csv,23,cp1258,124,4,120,120,0,0,0.95,0.972222,0.916667,1,0.673709,0.716156,0.28,1.35086,0.0,0.0,74,46,0.616667,0.383333,,yes
24_session-001_ldt_20260523_092617.csv,24,cp1258,124,4,120,120,0,0,0.95,0.986111,0.895833,1,0.574753,0.599815,0.28,1.164871,0.0,0.0,76,44,0.633333,0.366667,,yes
25_session-001_ldt_20260523_092834.csv,25,cp1258,124,4,120,119,1,1,0.9,0.958333,0.8125,1,0.722265,0.75639,0.331547,1.572796,0.0,0.0,77,42,0.647059,0.352941,,yes
26_session-001_ldt_20260523_093000.csv,26,cp1258,124,4,120,120,0,0,0.958333,0.986111,0.916667,1,0.64185,0.676366,0.28,1.400343,0.0,0.0,75,45,0.625,0.375,,yes
27_session-001_ldt_20260523_093217.csv,27,cp1258,124,4,120,120,0,0,0.825,0.875,0.75,1,0.632439,0.656693,0.28,1.379886,0.0,0.0,75,45,0.625,0.375,,yes
28_session-001_ldt_20260523_093434.csv,28,cp1258,124,4,120,119,1,1,0.933333,1,0.833333,1,0.79852,0.834259,0.318252,1.843493,0.0,0.0,79,40,0.663866,0.336134,,yes
29_session-001_ldt_20260523_093600.csv,29,cp1258,124,4,120,120,0,0,0.95,0.972222,0.916667,1,0.86917,0.896411,0.387863,1.503844,0.0,0.0,74,46,0.616667,0.383333,,yes
30_session-001_ldt_20260523_093817.csv,30,cp1258,124,4,120,117,3,3,0.816667,0.875,0.729167,1,0.609445,0.634309,0.28,1.310045,0.0,0.0,75,42,0.641026,0.358974,,yes
31_session-001_ldt_20260524_000257.csv,31,utf-8-sig,124,4,120,120,0,0,0.816667,0.972222,0.583333,1,0.529652,0.580753,0.276419,1.506821,0.0,0.0,90,30,0.75,0.25,,yes
