pseudoword,syllable_length,quality_flag,source_method,component_syllables,corpus_match_status,possible_meaning_warning,review_status,notes
chố,1,high,v3_minimal_modification_of_attested_syllable,chủ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
dăn,1,medium,v3_minimal_modification_of_attested_syllable,dán,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
nhá,1,high,v3_minimal_modification_of_attested_syllable,nhé,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
bậng,1,medium,v3_minimal_modification_of_attested_syllable,bận,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tợm,1,medium,v3_minimal_modification_of_attested_syllable,tôm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
bợt,1,medium,v3_minimal_modification_of_attested_syllable,bớt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
thóm,1,high,v3_minimal_modification_of_attested_syllable,thẩm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
phẻt,1,high,v3_minimal_modification_of_attested_syllable,phát,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
nóm,1,high,v3_minimal_modification_of_attested_syllable,nắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sôc,1,medium,v3_minimal_modification_of_attested_syllable,sông,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
chẳp,1,medium,v3_minimal_modification_of_attested_syllable,chấp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
vóng,1,medium,v3_minimal_modification_of_attested_syllable,vọng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
lẩt,1,high,v3_minimal_modification_of_attested_syllable,lột,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đặm,1,medium,v3_minimal_modification_of_attested_syllable,đậm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
lém,1,high,v3_minimal_modification_of_attested_syllable,lầm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
cỏm,1,high,v3_minimal_modification_of_attested_syllable,cảm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sận,1,medium,v3_minimal_modification_of_attested_syllable,sạn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
hơng,1,high,v3_minimal_modification_of_attested_syllable,hãng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
théng,1,high,v3_minimal_modification_of_attested_syllable,thắng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
hẻn,1,medium,v3_minimal_modification_of_attested_syllable,hẹn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
chớn,1,high,v3_minimal_modification_of_attested_syllable,chân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
xếm,1,high,v3_minimal_modification_of_attested_syllable,xếp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
vùc,1,medium,v3_minimal_modification_of_attested_syllable,vùng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tỏn,1,high,v3_minimal_modification_of_attested_syllable,tân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
lậng,1,medium,v3_minimal_modification_of_attested_syllable,lãng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
cụng,1,medium,v3_minimal_modification_of_attested_syllable,cùng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
chấ,1,high,v3_minimal_modification_of_attested_syllable,chợ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đứp,1,high,v3_minimal_modification_of_attested_syllable,đức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
lưc,1,high,v3_minimal_modification_of_attested_syllable,lóc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
dẫp,1,high,v3_minimal_modification_of_attested_syllable,dẫn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
kỷch,1,high,v3_minimal_modification_of_attested_syllable,kích,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
dón,1,high,v3_minimal_modification_of_attested_syllable,dân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
trát,1,medium,v3_minimal_modification_of_attested_syllable,tráng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
nhê,1,high,v3_minimal_modification_of_attested_syllable,nhị,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tăt,1,medium,v3_minimal_modification_of_attested_syllable,tăng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
bặc,1,medium,v3_minimal_modification_of_attested_syllable,bắc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
bợn,1,medium,v3_minimal_modification_of_attested_syllable,bồn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
xụng,1,medium,v3_minimal_modification_of_attested_syllable,xứng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sác,1,medium,v3_minimal_modification_of_attested_syllable,sắc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
thặt,1,medium,v3_minimal_modification_of_attested_syllable,thật,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
mẻng,1,high,v3_minimal_modification_of_attested_syllable,mảng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
dếch,1,high,v3_minimal_modification_of_attested_syllable,dịch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sém,1,high,v3_minimal_modification_of_attested_syllable,sắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
bứm,1,high,v3_minimal_modification_of_attested_syllable,bức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sẻn,1,high,v3_minimal_modification_of_attested_syllable,sản,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tởc,1,high,v3_minimal_modification_of_attested_syllable,tục,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sàc,1,medium,v3_minimal_modification_of_attested_syllable,sàng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
trỉ,1,medium,v3_minimal_modification_of_attested_syllable,trí,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
chấc,1,high,v3_minimal_modification_of_attested_syllable,chấm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
trỏn,1,medium,v3_minimal_modification_of_attested_syllable,trộn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
trớng,1,high,v3_minimal_modification_of_attested_syllable,trứng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tớch,1,high,v3_minimal_modification_of_attested_syllable,tách,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
ởng,1,high,v3_minimal_modification_of_attested_syllable,ứng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sọng,1,medium,v3_minimal_modification_of_attested_syllable,sông,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
chấng,1,high,v3_minimal_modification_of_attested_syllable,chóng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sởng,1,medium,v3_minimal_modification_of_attested_syllable,sống,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
mậc,1,medium,v3_minimal_modification_of_attested_syllable,mắc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đặnh,1,medium,v3_minimal_modification_of_attested_syllable,đành,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
họa bầu,2,high,v3_recombined_attested_vietnamese_syllables,họa | bầu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tắc quấn,2,high,v3_recombined_attested_vietnamese_syllables,tắc | quấn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
dưa thiếu,2,high,v3_recombined_attested_vietnamese_syllables,dưa | thiếu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
huế dẻo,2,high,v3_recombined_attested_vietnamese_syllables,huế | dẻo,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lột nhồi,2,high,v3_recombined_attested_vietnamese_syllables,lột | nhồi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phê đắng,2,high,v3_recombined_attested_vietnamese_syllables,phê | đắng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
hột xuyên,2,high,v3_recombined_attested_vietnamese_syllables,hột | xuyên,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
dẻo đạo,2,high,v3_recombined_attested_vietnamese_syllables,dẻo | đạo,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đuổi bằm,2,high,v3_recombined_attested_vietnamese_syllables,đuổi | bằm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kèm sóc,2,high,v3_recombined_attested_vietnamese_syllables,kèm | sóc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
vĩnh mến,2,high,v3_recombined_attested_vietnamese_syllables,vĩnh | mến,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đam trừ,2,high,v3_recombined_attested_vietnamese_syllables,đam | trừ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
mắng thuận,2,high,v3_recombined_attested_vietnamese_syllables,mắng | thuận,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
điên chương,2,high,v3_recombined_attested_vietnamese_syllables,điên | chương,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nằm chăn,2,high,v3_recombined_attested_vietnamese_syllables,nằm | chăn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
váy nghèo,2,high,v3_recombined_attested_vietnamese_syllables,váy | nghèo,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngợi lăng,2,high,v3_recombined_attested_vietnamese_syllables,ngợi | lăng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngói giật,2,high,v3_recombined_attested_vietnamese_syllables,ngói | giật,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
dựa miệng,2,high,v3_recombined_attested_vietnamese_syllables,dựa | miệng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tần thuận,2,high,v3_recombined_attested_vietnamese_syllables,tần | thuận,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nhé tồn,2,high,v3_recombined_attested_vietnamese_syllables,nhé | tồn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nêm chênh,2,high,v3_recombined_attested_vietnamese_syllables,nêm | chênh,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đất tường,2,high,v3_recombined_attested_vietnamese_syllables,đất | tường,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kiện lịch,2,high,v3_recombined_attested_vietnamese_syllables,kiện | lịch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phá làn,2,high,v3_recombined_attested_vietnamese_syllables,phá | làn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nấm thảm,2,high,v3_recombined_attested_vietnamese_syllables,nấm | thảm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kích nhằm,2,high,v3_recombined_attested_vietnamese_syllables,kích | nhằm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
xấu nắp,2,high,v3_recombined_attested_vietnamese_syllables,xấu | nắp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chống múi,2,high,v3_recombined_attested_vietnamese_syllables,chống | múi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lấp tầm,2,high,v3_recombined_attested_vietnamese_syllables,lấp | tầm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đoan cốc,2,high,v3_recombined_attested_vietnamese_syllables,đoan | cốc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phía cáo,2,high,v3_recombined_attested_vietnamese_syllables,phía | cáo,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lệch hãng,2,high,v3_recombined_attested_vietnamese_syllables,lệch | hãng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
bún dằn,2,high,v3_recombined_attested_vietnamese_syllables,bún | dằn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chắn hãi,2,high,v3_recombined_attested_vietnamese_syllables,chắn | hãi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
xóa nhạt,2,high,v3_recombined_attested_vietnamese_syllables,xóa | nhạt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
buông lực,2,high,v3_recombined_attested_vietnamese_syllables,buông | lực,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
trọn thẳng,2,high,v3_recombined_attested_vietnamese_syllables,trọn | thẳng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
xúc hữu,2,high,v3_recombined_attested_vietnamese_syllables,xúc | hữu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
trúc vân,2,high,v3_recombined_attested_vietnamese_syllables,trúc | vân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
trả băng,2,high,v3_recombined_attested_vietnamese_syllables,trả | băng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
mũi châu,2,high,v3_recombined_attested_vietnamese_syllables,mũi | châu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
diễn nặng,2,high,v3_recombined_attested_vietnamese_syllables,diễn | nặng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
thổ móng,2,high,v3_recombined_attested_vietnamese_syllables,thổ | móng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
cán ếch,2,high,v3_recombined_attested_vietnamese_syllables,cán | ếch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tỉnh bút,2,high,v3_recombined_attested_vietnamese_syllables,tỉnh | bút,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tết đậy,2,high,v3_recombined_attested_vietnamese_syllables,tết | đậy,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
sành xúp,2,high,v3_recombined_attested_vietnamese_syllables,sành | xúp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
thấu bền,2,high,v3_recombined_attested_vietnamese_syllables,thấu | bền,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lột xài,2,high,v3_recombined_attested_vietnamese_syllables,lột | xài,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đứng nuôi,2,high,v3_recombined_attested_vietnamese_syllables,đứng | nuôi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kiểm ngôn,2,high,v3_recombined_attested_vietnamese_syllables,kiểm | ngôn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chức vây,2,high,v3_recombined_attested_vietnamese_syllables,chức | vây,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngạc gòn,2,high,v3_recombined_attested_vietnamese_syllables,ngạc | gòn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lót luật,2,high,v3_recombined_attested_vietnamese_syllables,lót | luật,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tươi chuông,2,high,v3_recombined_attested_vietnamese_syllables,tươi | chuông,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
xích bớt,2,high,v3_recombined_attested_vietnamese_syllables,xích | bớt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tuông nguyện,2,high,v3_recombined_attested_vietnamese_syllables,tuông | nguyện,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tộc thống,2,high,v3_recombined_attested_vietnamese_syllables,tộc | thống,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tuấn ngả,2,high,v3_recombined_attested_vietnamese_syllables,tuấn | ngả,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phú níu,2,high,v3_recombined_attested_vietnamese_syllables,phú | níu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
cực cắm,2,high,v3_recombined_attested_vietnamese_syllables,cực | cắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kiếm chăng,2,high,v3_recombined_attested_vietnamese_syllables,kiếm | chăng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nấm dạy,2,high,v3_recombined_attested_vietnamese_syllables,nấm | dạy,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
