pseudoword,syllable_length,quality_flag,naturalness_score,pre_review_priority,source_method,component_syllables,corpus_match_status,possible_meaning_warning,auto_screen_note,review_status,notes,keep_manual,reject_manual,manual_note,final_selected
phớ,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,phụ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
sém,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,sắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
sẻn,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,sản,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
théng,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,thắng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
thóm,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,thẩm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
trớc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,trúc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
trớng,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,trứng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
tơc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,tức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
tỏn,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,tân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
tớch,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,tách,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
tởc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,tục,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
tửn,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,tôn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
vởng,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,vàng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
xếm,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,xếp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
đật,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,đậm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
đểnh,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,định,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
đứp,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,đức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
ởng,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,ứng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
chấng,1,high,0,deprioritized_extra_screen,v3_minimal_modification_of_attested_syllable,chóng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,sensitive_or_distracting_fragment,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
bậng,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,bận,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
bặc,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,bắc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
bợn,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,bồn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
bợt,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,bớt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
bứng,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,bức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
chẳp,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,chấp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
cụng,1,medium,80,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,cùng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,medium_quality,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
buông lực,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,buông | lực,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bán chúng,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bán | chúng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bún dằn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bún | dằn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bớt cốm,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bớt | cốm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chải luyện,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chải | luyện,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chống múi,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chống | múi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chức vây,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chức | vây,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chừng chặt,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chừng | chặt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cán ếch,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cán | ếch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cân giấu,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cân | giấu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
căng nhọn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,căng | nhọn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cải nguội,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cải | nguội,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cẩn vặt,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cẩn | vặt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cực cắm,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cực | cắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
diễn nặng,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,diễn | nặng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
dáng rộn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,dáng | rộn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
giận hoạt,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,giận | hoạt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
hoài muỗng,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,hoài | muỗng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
họa bầu,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,họa | bầu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
hột xuyên,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,hột | xuyên,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
kiểm ngôn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,kiểm | ngôn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
kiện lịch,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,kiện | lịch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
kèm sóc,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,kèm | sóc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
kéo đuổi,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,kéo | đuổi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
kích nhằm,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,kích | nhằm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
lót luật,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,lót | luật,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
lưu thấp,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,lưu | thấp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
lấp tầm,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,lấp | tầm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
lột nhồi,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,lột | nhồi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
lột xài,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,lột | xài,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
mũi châu,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,mũi | châu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
mắng thuận,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,mắng | thuận,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nghèo xôi,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nghèo | xôi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nguyễn thoại,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nguyễn | thoại,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
ngói giật,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,ngói | giật,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
ngạc gòn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,ngạc | gòn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
ngộ chạm,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,ngộ | chạm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
ngợi lăng,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,ngợi | lăng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nhé tồn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nhé | tồn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nêm chênh,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nêm | chênh,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nấm dạy,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nấm | dạy,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nấm thảm,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nấm | thảm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
nồi mãi,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,nồi | mãi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
phá làn,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,phá | làn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
phê đắng,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,phê | đắng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
phía cáo,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,phía | cáo,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
phú níu,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,phú | níu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
rộng ngào,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,rộng | ngào,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
sành xúp,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,sành | xúp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
thiên hoá,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,thiên | hoá,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
thấu bền,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,thấu | bền,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
thị sấy,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,thị | sấy,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
thổ móng,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,thổ | móng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
tiện đun,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,tiện | đun,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
trà cuối,2,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,trà | cuối,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bám đeo sơn,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bám | đeo | sơn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bóc giây tốn,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bóc | giây | tốn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bảy chát chuông,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bảy | chát | chuông,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
bọc lợp lạc,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,bọc | lợp | lạc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
châm hiểm mày,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,châm | hiểm | mày,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chênh chéo tân,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chênh | chéo | tân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chóng bức tầng,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chóng | bức | tầng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chúng xôi vuốt,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chúng | xôi | vuốt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
chữ cương giỏ,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,chữ | cương | giỏ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cài rốt cẩm,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cài | rốt | cẩm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
căng mục thấm,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,căng | mục | thấm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cốm gắp huế,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cốm | gắp | huế,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
cột tích liên,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,cột | tích | liên,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
dàn mồi gác,3,high,100,preferred_review_candidate,v3_recombined_attested_vietnamese_syllables,dàn | mồi | gác,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,real Vietnamese syllables recombined into unattested sequence,,,,
