pseudoword,syllable_length,quality_flag,source_method,pronounceability_note,corpus_match_status,review_status,notes
lịnh,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xộng,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ản,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ểp,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giởm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
hât,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xâch,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
gúng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
cửch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
dệm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
vậch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nghíp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
vủch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
bỷc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giấp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
bủm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
thỷch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
dứn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xỏch,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nấp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ngâng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
trịn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
tủng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
hẩn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
trọp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
sợm,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quíp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quổnh,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đuch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
tổp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xạm,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
véng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
vể,1,low,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
phỉt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xụn,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ngửc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
dực,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ngỉu,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nghéng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
tứi,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ựt,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nhỵc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
cổm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giẻc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giỵnh,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nghýn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ỵp,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
rẩp,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
mán,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
bẳp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giýn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nghỉch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quẻc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đởc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ngớch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đăc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nhôc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
róm,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
vư,1,low,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giạm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
têp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ghỵc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
cổnh,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
bếm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
bải,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quửm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giệt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đổt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ẻn,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
sêc,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
thậch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quụng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xấm,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
sởp,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
thợng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nghẹp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
thơng,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
xớnh,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nhựt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
rặ nghỉp,2,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giẳp ýnh,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ých tréng,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quâm sếm,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giớ trêm,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
gỏch đỏi,2,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đạnh giếch,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ngộm tặp,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
quậch rổt,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ngởc tẹc,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
gốn quén,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
tịc nổn,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đứnh ẻch,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
rẳn chổng,2,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
díp rổng,2,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
