lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag,keep,confidence,reason,notes
giám đốc công ty,5,1.609437912,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
hoạt động xã hội,5,1.609437912,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
máy xay sinh tố,5,1.609437912,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
thị trường nội địa,5,1.609437912,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
điều kiện kinh tế,5,1.609437912,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
đáp ứng nhu cầu,5,1.609437912,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
công nghệ thông tin,6,1.791759469,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
máy pha cà phê,6,1.791759469,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nước mắm nguyên chất,6,1.791759469,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
tốt nghiệp đại học,13,2.564949357,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
