muc_tu,tan_so,log_tan_so,so_am_tiet,do_tin_cay,ly_do,ghi_chu
máy hút khói,10,2.302585093,3,,,
máy điều hòa,10,2.302585093,3,,,
nhà thiết kế,9,2.197224577,3,,,
nước trái cây,9,2.197224577,3,,,
đồng công ty,9,2.197224577,3,,,
đồng sản phẩm,9,2.197224577,3,,,
nước hoa hồng,8,2.079441542,3,,,
trường đại học,8,2.079441542,3,,,
nét văn hóa,7,1.945910149,3,,,
nước mắm chua,7,1.945910149,3,,,
nước mắm me,7,1.945910149,3,,,
chủ cửa hàng,6,1.791759469,3,,,
công ty nước,6,1.791759469,3,,,
hãng sản xuất,6,1.791759469,3,,,
máy nước nóng,6,1.791759469,3,,,
nước bột bắp,6,1.791759469,3,,,
nước mắm đường,6,1.791759469,3,,,
nước mắm ớt,6,1.791759469,3,,,
tâm lý học,6,1.791759469,3,,,
tốt nghiệp đại học,13,2.564949357,4,,,
công nghệ thông tin,6,1.791759469,4,,,
máy pha cà phê,6,1.791759469,4,,,
nước mắm nguyên chất,6,1.791759469,4,,,
giám đốc công ty,5,1.609437912,4,,,
hoạt động xã hội,5,1.609437912,4,,,
máy xay sinh tố,5,1.609437912,4,,,
thị trường nội địa,5,1.609437912,4,,,
điều kiện kinh tế,5,1.609437912,4,,,
đáp ứng nhu cầu,5,1.609437912,4,,,
cửa hàng hoa tươi,4,1.386294361,4,,,
diễn đàn quốc tế,4,1.386294361,4,,,
nước uống thể thao,4,1.386294361,4,,,
quan hệ xã hội,4,1.386294361,4,,,
thủ công mỹ nghệ,4,1.386294361,4,,,
chống bán phá giá,3,1.098612289,4,,,
cá rô tổng trường,3,1.098612289,4,,,
công nghiệp tân tạo,3,1.098612289,4,,,
công ty mỹ phẩm,3,1.098612289,4,,,
công ty sản xuất,3,1.098612289,4,,,
cơ sở sản xuất,3,1.098612289,4,,,
cửa hàng thực phẩm,3,1.098612289,4,,,
dịch vụ tẩy lông,3,1.098612289,4,,,
máy sinh tố xay,3,1.098612289,4,,,
máy đo huyết áp,3,1.098612289,4,,,
môi trường bên ngoài,3,1.098612289,4,,,
nghiên cứu khoa học,3,1.098612289,4,,,
tai nạn lao động,3,1.098612289,4,,,
thị trường kiểu dáng,3,1.098612289,4,,,
văn hóa ẩm thực,3,1.098612289,4,,,
đánh mất lòng tin,3,1.098612289,4,,,
định kiến xã hội,3,1.098612289,4,,,
